Country Name,GDP at market prices (constant 2005 US$),GDP at market prices (current US$),GDP per capita (constant 2005 US$),GDP per capita (current US$),Internet users (per 100 people),Population growth (annual %),"Population, total"
Afghanistan,15936800636.2487,15936800636.2487,553.300289383064,553.300289383064,4.0,2.81261695888044,28803167.0
Albania,11926953258.916,11926953258.916,4094.3588319191795,4094.3588319191795,45.0,-0.49646196338738,2913021.0
Algeria,161207268655.392,161207268655.392,4463.39467488951,4463.39467488951,12.5,1.8213581586361298,36117637.0
American Samoa,576000000.0,576000000.0,10352.8227618312,10352.8227618312,,-1.05486210207446,55637.0
Andorra,3355695364.23841,3355695364.23841,39736.3540626699,39736.3540626699,81.0,-0.0153927216411839,84449.0
Angola,82470913120.7314,82470913120.7314,3529.05348173757,3529.05348173757,2.8,3.57009863798221,23369131.0
Antigua and Barbuda,1152469074.07407,1152469074.07407,12174.6978594572,12174.6978594572,47.0,1.14747171215348,94661.0
Arab World,1515628838344.66,2097884309178.57,4358.54879244057,6032.96195685802,26.7472508954194,2.2307862590515297,347737036.0
Argentina,423627422092.49,423627422092.49,10276.2604977053,10276.2604977053,45.0,1.0350371425283,41223889.0
Armenia,9260284937.797821,9260284937.797821,3218.3816548846503,3218.3816548846503,25.0,-0.39102392130448793,2877311.0
Aruba,2467703910.61453,2467703910.61453,24271.9404205267,24271.9404205267,62.0,0.212680144365572,101669.0
Australia,1142876772659.21,1142876772659.21,51874.080481995705,51874.080481995705,76.0,1.55548958906995,22031750.0
Austria,391892746544.69,391892746544.69,46858.0432733717,46858.0432733717,75.17,0.24039429950076602,8363404.0
Azerbaijan,52902703376.1056,52902703376.1056,5842.805783585761,5842.805783585761,46.0,1.18978770786007,9054332.0
"Bahamas, The",7910000000.0,7910000000.0,21921.5590634977,21921.5590634977,43.0,1.6700402670638999,360832.0
Bahrain,25713271276.5957,25713271276.5957,20722.1038895508,20722.1038895508,55.0,4.60390525330931,1240862.0
Bangladesh,115279077465.226,115279077465.226,757.6717571768941,757.6717571768941,3.7,1.1198878880490601,152149102.0
Barbados,4461650000.0,4461650000.0,15959.0297922874,15959.0297922874,65.1,0.393879790063157,279569.0
Belarus,57222490768.7143,57222490768.7143,6029.3967998293,6029.3967998293,31.8,-0.170360662064171,9490583.0
Belgium,483548031197.108,483548031197.108,44380.1766327308,44380.1766327308,75.0,0.913639391631709,10895586.0
Belize,1397113450.0,1397113450.0,4344.15017661252,4344.15017661252,28.2,2.41665669265084,321608.0
Benin,6970240895.498879,6970240895.498879,757.695907409377,757.695907409377,3.13,2.8061088436156405,9199259.0
Bermuda,5744414000.0,5744414000.0,88207.3275597322,88207.3275597322,84.21,-0.7800597233225679,65124.0
Bhutan,1585472534.10547,1585472534.10547,2178.92138307967,2178.92138307967,13.6,1.82835814221659,727641.0
Bolivia,19649631308.1648,19649631308.1648,1981.1607045043697,1981.1607045043697,22.4,1.6211574341864499,9918242.0
