F0	F1	F2
d	a	a
c	e	c
j	a	c
f	e	j
c	e	d
d	g	a
f	d	c
h	c	f
i	c	c
h	i	h
c	d	h
d	c	g
a	e	c
i	h	h
e	h	i
c	a	g
b	j	h
a	b	i
a	f	j
b	d	e
b	d	f
c	f	d
j	g	a
a	f	i
j	a	e
e	i	f
h	d	h
c	e	d
i	a	g
a	j	e
c	f	d
j	g	g
e	i	g
d	g	f
d	g	a
h	e	j
f	i	b
f	i	h
j	g	a
a	b	i
g	c	h
g	i	a
e	d	a
d	a	h
d	c	g
i	a	f
f	j	f
b	c	e
d	c	a
i	g	g
f	i	h
c	e	c
c	c	b
h	d	h
e	f	d
d	c	f
c	c	a
a	h	d
a	h	c
a	e	j
f	i	h
e	i	b
j	h	h
a	e	j
f	i	h
i	h	a
g	f	j
j	a	a
d	g	g
i	a	h
j	g	g
j	a	e
b	j	e
b	d	h
i	g	b
e	b	j
g	e	d
d	a	g
b	d	b
h	i	e
h	d	f
a	d	e
g	d	a
j	a	g
g	e	j
j	g	h
b	f	d
i	a	g
a	b	i
f	i	a
g	f	i
g	b	j
a	d	g
i	c	a
b	b	d
a	e	d
b	d	a
a	j	e
f	f	i
j	h	f
j	g	h
c	i	b
h	i	e
g	b	c
f	d	e
j	g	a
i	g	f
b	e	i
b	i	f
g	f	d
a	i	c
d	a	g
j	a	e
b	e	i
c	e	j
h	j	c
h	j	e
c	j	e
a	i	g
h	b	d
i	c	b
b	j	b
f	i	f
e	d	b
d	g	e
c	h	i
h	i	h
f	c	a
h	b	j
j	g	f
a	i	b
b	i	b
h	e	d
i	h	h
a	b	i
c	b	i
j	g	b
j	a	c
j	c	b
a	e	i
h	i	a
h	f	j
f	j	h
d	h	h
b	f	c
j	a	h
h	b	i
e	i	b
i	c	f
e	c	g
j	h	a
c	i	a
c	b	j
b	j	c
h	d	g
f	b	d
a	f	c
a	f	c
j	a	g
f	f	i
c	e	d
i	a	h
a	h	i
g	j	e
g	j	b
d	h	e
j	a	f
j	g	f
f	f	i
e	d	e
j	g	h
g	e	c
a	b	d
h	h	j
e	d	g
c	h	b
d	c	e
j	a	e
i	g	e
h	j	e
d	g	h
c	b	d
j	a	c
a	b	i
f	i	a
d	c	f
e	i	a
j	a	h
b	j	b
f	d	f
j	g	h
h	h	j
b	e	i
e	i	f
f	j	b
h	b	j
j	g	e
f	j	b
c	f	d
g	e	i
i	h	a
c	g	f
f	d	a
b	f	j
f	d	e
b	i	g
d	a	g
b	e	d
j	c	a
i	h	g
c	b	j
g	d	b
h	d	e
f	i	e
e	j	c
g	i	g
i	a	f
g	b	d
c	b	j
c	f	i
g	f	j
b	j	h
f	d	h
j	c	g
h	i	g
d	h	e
h	j	e
e	i	b
g	b	d
g	f	i
h	b	d
e	b	i
d	h	h
i	g	f
f	f	d
i	a	g
g	j	e
e	f	d
a	h	j
h	h	i
f	e	i
b	j	h
d	a	a
d	h	b
c	f	i
d	c	a
e	e	c
d	a	h
e	i	e
a	f	d
h	b	d
b	f	j
a	f	i
c	h	a
d	g	e
e	f	j
d	c	g
h	e	i
d	a	g
a	h	j
e	b	i
e	d	b
e	d	e
f	f	d
g	e	j
d	h	a
j	c	h
h	i	b
d	g	c
i	a	g
b	j	h
d	h	g
j	g	h
j	h	c
d	g	g
e	j	f
j	h	f
f	j	c
g	b	i
f	i	a
a	f	i
c	h	a
f	d	f
e	i	f
